Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250307\250308_++Cas_ML_I.raw	I:\Fadime\250203_Fadime_DSS3_ProMM_ML_1.raw	I:\Fadime\250307\250308_++Cas_ML_II.raw	I:\Fadime\250307\250308_++Cas_ML_III.raw	I:\Fadime\250307\250308_-N+C_Sec_ML_II.raw	I:\Fadime\250203_Fadime_DSS3_ProMM_ML_2.raw	I:\Fadime\250307\250308_-N+C_ML_I.raw	I:\Fadime\250307\250308_-N+C_ML_III.raw	I:\Fadime\250307\250308_-N+C_Sec_ML_III.raw	I:\Fadime\250307\250308_-N+C_ML_II.raw	I:\Fadime\250307\250308_-N+C_Sec_ML_I.raw	I:\Fadime\250203_Fadime_DSS3_ProMM_ML_3.raw	I:\Fadime\250307\250308_ProMM_Sec_ML_I.raw	I:\Fadime\250307\250308_ProMM_Sec_ML_II.raw	I:\Fadime\250307\250308_ProMM_Sec_ML_III.raw
SPO1285	"Palmitoyl-protein thioesterase ABHD10, mitochondrial (EC 3.1.1.93) (EC 3.1.2.22) (Acyl-protein thioesterase ABHD10) (Alpha/beta hydrolase domain-containing protein 10) (Mycophenolic acid acyl-glucuronide esterase, mitochondrial)"				2.57294e+06	2.97667e+06	2.56403e+06	2.86849e+06		3.115e+06	2.48316e+06	2.56154e+06		2.53269e+06		3.22547e+06	1.60245e+07		1.02725e+07
SPO1286	AB hydrolase-1 domain-containing protein				822248	788043	953552	903076		720819	874037	843764		837486		745623			
SPO1287	Glyoxalase family protein				190548	390174	404086	428952		266856	388532	324747		331227		333733	352960	336377	1.0646e+06
SPO1288	Peptidase M15A C-terminal domain-containing protein				854824	706028	752747	729081		648367	588775	571311		560013		658305			
SPO1289	"Hydrolase, alpha/beta fold family"				1.82772e+06	1.34621e+06	1.40378e+06	1.49755e+06		1.37492e+06	1.23761e+06	1.15787e+06	465087	1.13489e+06		1.20873e+06			
SPO1290	CENP-V/GFA domain-containing protein				2.88479e+06	1.57634e+06	1.6934e+06	1.77276e+06		1.69869e+06	2.34261e+06	2.21366e+06		2.23864e+06		1.67857e+06			
SPO1291	"Polyhydroxyalkanoate depolymerase, intracellular"				1.44179e+07	1.14582e+07	1.53021e+07	1.51956e+07		1.09364e+07	1.95893e+07	2.01318e+07	2.44295e+06	1.92131e+07	2.85877e+06	1.09886e+07			303346
SPO1292	Poly(3-hydroxyalkanoate) polymerase				2.80933e+06	6.85183e+06	3.96892e+06	3.87218e+06		6.48668e+06	5.70238e+06	5.55703e+06		5.55593e+06		6.52417e+06		1.00533e+07	
SPO1293	"Phasin, PhaP"				2.49567e+08	1.47606e+08	3.31414e+08	3.26877e+08	7.18658e+07	1.04691e+08	8.88148e+07	8.85561e+07	6.71936e+07	8.48253e+07	6.18067e+07	1.32476e+08	5.29064e+06	5.11605e+06	9.93502e+06
SPO1294	Polyhydroxyalkanoate synthesis repressor PhaR				5.81515e+06	5.34556e+06	7.28573e+06	7.67154e+06		5.09691e+06	5.26893e+06	4.90346e+06	3.97737e+06	5.31716e+06		5.30961e+06	4.6152e+07		239684
SPO1295	"Aminotransferase, DegT/DnrJ/EryC1/StrS family"				3.08056e+06	3.65274e+06	3.76897e+06	3.46858e+06		3.16556e+06	4.93951e+06	4.58475e+06		4.96236e+06		3.33126e+06			3.37159e+07
SPO1298	"Oxidoreductase, aldo/keto reductase family protein"				690245	295879	526946	544391		276729	283536	312566		318584		287604			
SPO1299	"Transcriptional regulator, LysR family"				149228	236680	178364	174060		240004	235862	248301		259564		235433	219012		
SPO1300	Glutamine synthetase family protein				7.26476e+06	6.22666e+06	6.63979e+06	6.63416e+06	5.07663e+06	6.05458e+06	8.71114e+06	8.58142e+06		8.60296e+06	749073	6.38516e+06		51249.7	163048
SPO1301	"Glutamine amidotransferase, class I"				2.01596e+06	1.73356e+06	2.53196e+06	2.58975e+06		1.50583e+06	2.51286e+06	2.32256e+06		2.36489e+06		1.61686e+06	528483	129767	151654
SPO1302	Glutamine synthetase family protein				3.08103e+06	3.18378e+06	3.07632e+06	3.14705e+06		3.12427e+06	5.95002e+06	5.74123e+06		5.94613e+06		3.37181e+06			
SPO1303	"Fructosyl-amino acid oxidase, putative"				1.8461e+06	1.5488e+06	1.67559e+06	1.5165e+06		1.42184e+06	2.40592e+06	2.3247e+06		2.33889e+06		1.43511e+06			
SPO1304	"His/Glu/Gln/Arg/opine family ABC transporter, permease protein"				768592	652888	710320	710936		635828	1.50424e+06	1.54352e+06		1.3375e+06	2.01051e+06	599783			
SPO1305	"ABC transporter, permease protein, HisMQ family"				1.08569e+06	1.61461e+06	1.81811e+06	1.65934e+06		1.44128e+06	3.2443e+06	3.46579e+06		3.22534e+06		1.45203e+06	1.34394e+06		
SPO1306	"His/Glu/Gln/Arg/opine family ABC transporter, periplasmic His/Glu/Gln/Arg/opine family-binding protein"				5.15944e+06	7.29427e+06	1.09556e+07	1.14794e+07	2.44425e+07	6.97805e+06	1.62709e+07	1.50899e+07	4.13562e+07	1.64502e+07	5.20019e+07	8.37093e+06	5.14134e+08	4.81085e+08	6.57967e+08
SPO1307	"His/Glu/Gln/Arg/opine family ABC transporter, ATP-binding protein"				3.86398e+06	3.5874e+06	4.1901e+06	4.00542e+06		3.58062e+06	6.94721e+06	6.97342e+06		7.23074e+06		3.6159e+06			90173.7
SPO1308	Uncharacterized protein				1.65941e+06	1.15096e+06	1.18767e+06	1.31484e+06		1.15481e+06	1.26e+06	1.24286e+06		1.18833e+06		1.0276e+06			
SPO1309	Co-chaperone DjlA N-terminal domain-containing protein				897255	1.95098e+06	1.5486e+06	1.56177e+06		1.66743e+06	744592	642050		624655	2.59244e+06	1.73157e+06			
SPO1310	Co-chaperone DjlA N-terminal domain-containing protein				2.35513e+06	3.76578e+06	4.58129e+06	4.35789e+06	4.01337e+06	3.14361e+06	2.17209e+06	1.89378e+06	3.97838e+06	2.13482e+06	3.1811e+06	3.73193e+06		64180.6	
SPO1310a	#NAME?				1.23275e+07	1.22339e+07	9.32451e+06	1.08889e+07	9.09914e+06	1.19017e+07	9.12597e+06	8.39118e+06	1.15304e+07	9.89513e+06		1.06791e+07			142160
SPO1311	Renal dipeptidase family protein				1.94758e+06	1.67688e+06	2.06351e+06	2.26292e+06	1.03263e+06	1.7205e+06	1.36746e+06	1.28905e+06		1.33698e+06		1.59832e+06			
SPO1312	CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)				8.7042e+06	9.8882e+06	8.62839e+06	8.92368e+06	9.00779e+06	9.70922e+06	1.09957e+07	1.10797e+07	1.3634e+07	1.10219e+07	1.13202e+07	1.01173e+07	250052	235972	225212
SPO1313	Protein-export membrane protein SecG				558619	1.5255e+06	616124	672509		1.78741e+06	1.13714e+06	1.08146e+06	2.57076e+08	1.18191e+06		1.95735e+06		24528.9	
SPO1314	nitrile hydratase (EC 4.2.1.84)				1.1196e+07	1.29429e+07	1.10246e+07	1.0858e+07	1.36761e+07	1.38117e+07	1.53308e+07	1.51694e+07	1.16744e+07	1.55266e+07	1.12603e+07	1.36655e+07	279052	288594	276324
SPO1315	Nitrile hydratase subunit beta (NHase) (EC 4.2.1.84)				1.24878e+07	1.83852e+07	1.32895e+07	1.34713e+07	2.10259e+07	1.77796e+07	1.97385e+07	1.90674e+07	1.34838e+07	1.98028e+07	2.05281e+07	1.8274e+07	329117	445738	356394
SPO1316	Nitrile hydratase beta subunit-like N-terminal domain-containing protein				648477	1.2375e+06	1.33977e+06	1.17509e+06		1.01871e+06	1.27134e+06	1.2905e+06		1.06154e+06		1.12157e+06			
SPO1317	DUF2842 domain-containing protein				3.38734e+06	5.79929e+06	4.6272e+06	4.16838e+06		4.46873e+06	2.941e+06	2.02547e+06		2.45107e+06		4.57797e+06		62330.4	
SPO1318	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)				1.33529e+07	1.25929e+07	1.44957e+07	1.41326e+07	1.06309e+07	1.30204e+07	1.32663e+07	1.32088e+07	1.08535e+07	1.30628e+07	1.25032e+07	1.28395e+07	146835	181757	260237
SPO1319	Uncharacterized protein				297828	442048	359584	332936		369686	464837	477355		502613		334753			
SPO1320	"Lipoprotein, putative"				4.98161e+06	4.65657e+06	5.84493e+06	6.38822e+06	5.42782e+06	4.64994e+06	5.61188e+06	5.44383e+06	2.43501e+06	5.71752e+06	3.10727e+06	4.97081e+06	253986		
SPO1321	thiamine diphosphokinase (EC 2.7.6.2)				781894	848578	680556	744104		828120	744847	735756		695216		823494			
SPO1322	"Membrane protein, putative"					44400.8				60808.7	50532.6	35056.8		65570.9		52382.9			
SPO1323	L-serine dehydratase (EC 4.3.1.17)				2.31862e+06	1.71057e+06	2.5934e+06	2.53941e+06		1.64365e+06	2.1701e+06	2.12704e+06		1.9903e+06		1.72036e+06			
SPO1324	Glutathione S-transferase family protein				979188	233632	518954	464418		403809	305482	291459		411098		307619			
SPO1326	"Transcriptional regulator, MarR family"				432369	410081	414360	364447	155619	395278	448668	332657		371839		398506			
SPO1327	Ribose-5-phosphate isomerase A (EC 5.3.1.6) (Phosphoriboisomerase A) (PRI)				2.88872e+06	2.46583e+06	2.55904e+06	2.72304e+06		2.58613e+06	2.41527e+06	2.47615e+06	1.44975e+06	2.54173e+06		2.53528e+06			
SPO1328	Glutathione reductase (GRase) (EC 1.8.1.7)				1.06965e+07	1.21507e+07	1.31564e+07	1.25111e+07	1.01457e+07	1.14184e+07	1.07682e+07	1.06087e+07	1.13904e+07	1.04475e+07	1.21347e+07	1.1594e+07	9.61346e+07	8.44189e+07	7.55346e+07
SPO1329	Protein HflK				1.67889e+07	1.86768e+07	1.95921e+07	2.06546e+07		1.71552e+07	1.99057e+07	2.00483e+07		2.05351e+07		1.91513e+07	3.92114e+06	3.67575e+06	5.78364e+06
SPO1330	Protein HflC				1.81091e+07	1.56542e+07	1.79708e+07	1.75425e+07		1.65935e+07	1.68108e+07	1.66049e+07	4.59321e+06	1.71442e+07		1.69661e+07	429383	164636	175854
SPO1331	Lipoprotein				1.44667e+06	689535	1.61593e+06	1.60431e+06		687270	595080	586736		587060		657164	1.04826e+06	1.25078e+06	1.18613e+06
SPO1333	Probable periplasmic serine endoprotease DegP-like (EC 3.4.21.107) (Protease Do)				1.80628e+07	1.58042e+07	1.77076e+07	1.81599e+07	8.01604e+06	1.72601e+07	1.37784e+07	1.38035e+07	1.00724e+07	1.40124e+07	6.77326e+06	1.77037e+07	1.34668e+07	1.58792e+07	1.21977e+07
SPO1334	DUF4440 domain-containing protein				1.86647e+06	2.28611e+06	2.09745e+06	2.24133e+06	2.46798e+06	2.28041e+06	2.62133e+06	2.43436e+06		2.6577e+06		2.32673e+06	1.23362e+06	1.52888e+06	1.34924e+06
SPO1335	"Transcriptional regulator, Crp/Fnr family"				3.4287e+06	3.04728e+06	2.94798e+06	3.09465e+06		3.04882e+06	2.44946e+06	2.09466e+06		2.27513e+06		2.9716e+06		17873.5	1.30378e+07
SPO1336	Inner membrane-spanning protein YciB				666219	1.52602e+06	1.22444e+06	1.14572e+06		1.44084e+06	1.26246e+06	1.39787e+06		1.49026e+06		1.53394e+06			
SPO1337	"Membrane protein, putative"					150083	24398.5	37960.2		127346	108665	116748		111885		124603			
SPO1337a	#NAME?				708121	944971	740382	778395		902490	798226	728944		704167		917580			
SPO1339	Signal recognition particle receptor FtsY (SRP receptor) (EC 3.6.5.4)				8.46818e+06	7.52174e+06	8.58719e+06	8.93478e+06	5.58012e+06	8.01182e+06	8.33885e+06	8.53638e+06	4.84455e+06	8.42251e+06	7.1634e+06	7.81865e+06		92457.6	54397.3
SPO1340	"Membrane protein, putative"				197828	117280	327933	357243		111405	174244	164782		165375		112916			
SPO1341	"Alkane-1 monooxygenase, putative"				604766	729832	730038	748442		517460	450741	454349		455280		389092			
SPO1342	Uncharacterized protein				55365.5	74868.8	64603.2	101885		51805.7	108361	65417.1		69124.5		67149.9	152305	324137	172017
SPO1343	Glutathione S-transferase family protein				1.37173e+06	1.22683e+06	1.43118e+06	1.43148e+06		1.15539e+06	998071	1.04405e+06		1.04585e+06		1.09731e+06			
SPO1344	Exodeoxyribonuclease 7 large subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII large subunit) (Exonuclease VII large subunit)				3.53243e+06	3.1999e+06	3.20733e+06	3.02734e+06		3.19696e+06	3.36344e+06	3.2479e+06		3.24319e+06	1.94126e+07	3.09571e+06			877919
SPO1345	Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (GARS) (Glycinamide ribonucleotide synthetase) (Phosphoribosylglycinamide synthetase)				1.07062e+07	1.5182e+07	1.07029e+07	1.07483e+07	2.066e+07	1.60942e+07	1.61096e+07	1.58591e+07	2.1191e+07	1.56969e+07	2.26748e+07	1.56556e+07	398488	344112	191740
SPO1346	"Transcriptional regulator, LuxR family/sensory box protein"				803362	1.0861e+06	639785	678508		1.12205e+06	943066	976544		972190		1.09856e+06			
SPO1347	Integrins alpha chain				969586	795934	1.0737e+06	948122		742658	697190	722679		711690		757673		47348.3	
SPO1348	Iron-sulfur cluster-binding protein				5.03521e+06	4.60564e+06	6.15385e+06	6.47842e+06	1.73146e+07	4.92654e+06	4.34533e+06	3.88622e+06	1.65415e+07	4.28474e+06	1.21717e+07	5.23071e+06		664437	786349
SPO1349	"Lipoprotein, putative"				3.86666e+06	4.49647e+06	2.59883e+06	2.73276e+06		4.93402e+06	3.94707e+06	3.7467e+06		3.812e+06		4.72639e+06	980430	1.52801e+06	1.30518e+06
SPO1351	O-succinylhomoserine sulfhydrylase (OSH sulfhydrylase) (OSHS sulfhydrylase) (EC 2.5.1.-)				4.19732e+07	5.10452e+06	3.74228e+07	4.08096e+07	1.6935e+06	4.94857e+06	2.80423e+06	2.80995e+06		2.88098e+06	3.70637e+06	5.34126e+06	1.4138e+07	1.49956e+07	1.14688e+07
SPO1352	GTP cyclohydrolase FolE2 (EC 3.5.4.16)				1.11683e+06	2.25551e+06	1.34532e+06	1.31475e+06		2.23793e+06	2.55092e+06	2.47581e+06		2.50402e+06		2.19415e+06			
SPO1352a	#NAME?				3.15174e+07	1.32624e+07	3.5253e+07	2.89273e+07	1.04103e+07	1.22128e+07	1.19302e+07	1.22151e+07		1.15158e+07	3.35356e+07	1.08997e+07	8.61551e+06	5.67428e+06	8.16908e+06
SPO1353	Trk system potassium uptake protein				196221	313119	359647	323230		311021	361368	398998		369755		388286			
SPO1354	Peptidoglycan binding domain protein				5.45116e+06	1.1931e+07	5.83199e+06	6.01756e+06	2.12374e+07	1.25643e+07	8.33841e+06	7.99606e+06	1.47409e+07	8.53837e+06	1.53367e+07	1.30142e+07	1.63556e+06	597755	859662
SPO1355	Glycine--tRNA ligase alpha subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase alpha subunit) (GlyRS)				5.39974e+06	7.61484e+06	6.82988e+06	6.90927e+06	7.32099e+06	7.47457e+06	7.35509e+06	7.29337e+06	3.99994e+06	7.20972e+06	6.53014e+06	7.30495e+06		183624	
SPO1356	"Methyltransferase, FkbM family"				2.84898e+06	3.0107e+06	2.53162e+06	2.47492e+06		2.98153e+06	2.88722e+06	2.7173e+06		2.8254e+06		3.11506e+06			99160.5
SPO1356a	#NAME?				4.06854e+06	6.0292e+06	5.69317e+06	6.09777e+06		5.89814e+06	5.44436e+06	5.39731e+06		5.26868e+06		6.01789e+06	5.54045e+06		
SPO1357	Sodium/glutamate symporter				100760	123584	81646.6	87953.8		103622	118799	96091.7		116239		94680.3			
SPO1358	Glycine--tRNA ligase beta subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase beta subunit) (GlyRS)				8.30152e+06	8.54822e+06	9.01289e+06	8.88837e+06	4.857e+06	8.09394e+06	8.99141e+06	8.7376e+06	4.71374e+06	8.93813e+06	4.6344e+06	8.58986e+06		2.26847e+07	255732
SPO1359	"Pyruvate, phosphate dikinase (EC 2.7.9.1) (Pyruvate, orthophosphate dikinase)"				5.7939e+06	4.24239e+06	5.12979e+06	5.21242e+06		4.34637e+06	4.17247e+06	4.2509e+06		4.2092e+06	2.12243e+06	4.26693e+06	1.87304e+06		1.25979e+06
SPO1360	Cell wall hydrolase SleB domain-containing protein				114963	134422	105038	100212		119050	116335	206966		101088		86208.3	2.28547e+06	3.31663e+06	1.54144e+06
SPO1361	Multicopper oxidase domain protein				153027	323436	120799	139672		363948	495156	511017		550235		381516			
SPO1362	"dihydroneopterin aldolase (EC 4.1.2.25) (7,8-dihydroneopterin aldolase)"				1.60853e+06	1.9146e+06	2.07619e+06	2.00671e+06		1.8704e+06	2.04431e+06	2.01824e+06		2.11432e+06		1.90042e+06	279733	655516	
SPO1363	Dihydropteroate synthase (DHPS) (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase)				624810	644907	635454	675948	272366	620613	699888	682497		669800		619406			
SPO1364	Phosphoglucosamine mutase (EC 5.4.2.10)				5.73492e+06	6.9584e+06	4.72952e+06	4.77222e+06		7.92844e+06	6.28599e+06	6.40771e+06		5.80809e+06		7.52227e+06	8.7247e+07	1.07437e+08	1.59389e+08
SPO1364a	#NAME?				5.0733e+06	2.58109e+06	3.85339e+06	3.88239e+06	1.71713e+07	2.73684e+06	2.96695e+06	3.09089e+06	2.27041e+07	2.78033e+06	2.20567e+07	2.66571e+06	416608	445123	926190
SPO1365	"Membrane protein, putative"				105313	146922	207024	185329		121524	90134.1	81819.2		75976.6		117327			
SPO1366	Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Ketol-acid reductoisomerase type 1) (Ketol-acid reductoisomerase type I)				6.3759e+07	6.77853e+07	4.94912e+07	5.06219e+07	3.32301e+07	6.77034e+07	3.53987e+07	3.56639e+07	2.89003e+07	3.4218e+07	3.32173e+07	6.68175e+07	2.91633e+08	2.95288e+08	3.69081e+08
SPO1367	"Transcriptional regulator, AsnC family"				230060	274152	180277	196191		227704	252647	197650		211365		234411			
SPO1368	"Transcriptional regulator, AsnC family"				432714	585077	506902	456648		602550	545219	549718		567259		629777			
SPO1369	"Transcriptional regulator, GntR family"				2.19155e+06	6.8411e+06	2.21152e+06	2.38723e+06	1.89085e+06	6.86832e+06	5.39972e+06	5.34346e+06	3.29872e+06	5.33687e+06	1.94027e+06	7.2268e+06	688694		
SPO1370	Aminotransferase family protein				2.23148e+06	2.56236e+06	2.62651e+06	2.49102e+06		2.5138e+06	2.45662e+06	2.49042e+06	2.37519e+06	2.42593e+06	4.60704e+06	2.56298e+06	110388		
SPO1371	"2-octaprenyl-6-methoxyphenol hydroxylase, putative"				4.8509e+06	4.38853e+06	3.79237e+06	3.8277e+06		4.55768e+06	4.75633e+06	4.79891e+06	1.81225e+06	4.86613e+06		4.01847e+06		5.03019e+07	3.75037e+07
SPO1372	Uncharacterized protein				2.00316e+06	2.53047e+06	1.59252e+06	1.73157e+06		2.29711e+06	4.37847e+06	3.94435e+06		3.98693e+06		2.4436e+06		2.08138e+07	
SPO1373	Metallo-beta-lactamase domain-containing protein				401041	666488	448719	438448		634821	390592	398222		387039		622698	507533	1.46154e+06	
SPO1374	Pyrimidine 5'-nucleotidase				1.4466e+06	2.03173e+06	1.43163e+06	1.50479e+06		1.85195e+06	1.93499e+06	1.95343e+06		1.95968e+06		1.91971e+06	1.26511e+07		
SPO1375	"Transcriptional regulator, GntR family"				2.53816e+06	3.88816e+06	2.50273e+06	2.59579e+06	2.37857e+06	3.8895e+06	3.15919e+06	3.09982e+06	2.12829e+06	3.0693e+06	1.66853e+06	3.84495e+06			
SPO1376	"Glycosyl transferase, group 2 family protein"				120109	12559.7	81727	102367			130678	102358							341113
SPO1377	Carbamoyl phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl phosphate synthetase glutamine chain)				1.72314e+07	1.95623e+07	1.69008e+07	1.61582e+07	1.4275e+07	1.88853e+07	2.01369e+07	1.9894e+07	1.42737e+07	1.89625e+07	1.49126e+07	1.93305e+07	194358	248980	300392
SPO1378	GatB/YqeY domain protein				7.23983e+06	6.93937e+06	9.02458e+06	9.49131e+06	1.42857e+07	7.1379e+06	7.36996e+06	6.69478e+06	6.21579e+06	7.27099e+06	7.8123e+06	7.43979e+06		162342	
SPO1379	"Prephenate dehydrogenase, putative"				89675.1	74093.7	80927.4	81515.6		62569.5	86295.4	63491.1		62523.3		44356.8	3.53071e+06	3.64727e+06	3.16419e+06
SPO1380	Uncharacterized protein				362858	395775	245192	238083		405434	348714	389840		392723		433254			
SPO1381	Integral membrane protein				335566	541202	352770	386213		519846	558936	525056		528418		532506			
SPO1382	"Glycosyl transferase, group 2 family protein"				211727	1.12229e+06	364316	343643		879561	918914	959168		901740		886298			
SPO1383	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)				1.92671e+06	3.42409e+06	2.60144e+06	2.55327e+06		3.33911e+06	5.60585e+06	5.73245e+06		5.48396e+06		3.45032e+06	76749.7		397445
SPO1384	"Transcriptional regulator, MarR family"				1.36081e+06	984097	1.04051e+06	1.00393e+06		887419	956826	958962	386321	927536		858701	2.21194e+06		
SPO1385	Twin-arginine translocation pathway signal sequence domain protein				317225	296046	257536	304827		285052	346903	378343		357586		278879			
SPO1386	HIT family protein				1.03036e+07	8.25867e+06	9.98014e+06	9.8159e+06	9.05784e+06	8.82838e+06	7.29094e+06	7.15161e+06	7.86643e+06	7.11285e+06	9.97004e+06	9.14379e+06		198368	213532
SPO1387	Cation efflux system protein				96696.4	79612.1	84021.9	89609.4		37147.1	108538			70610.2		59729.3			
SPO1388	"Transcriptional regulator, LuxR family/hydrolase, alpha/beta fold family"				655714	3.65799e+06	745592	754031	5.7431e+06	3.49304e+06	2.52349e+06	2.61789e+06		2.62599e+06		3.41367e+06	21052.5	3.04165e+06	1.96008e+06
SPO1389	Octanoyltransferase (EC 2.3.1.181) (Lipoate-protein ligase B) (Lipoyl/octanoyl transferase) (Octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase)				635186	492707	547725	567032		447732	671829	670051		749542		397976			
SPO1390	"Thioredoxin domain protein, DsbA family"				1.11235e+06	1.09995e+06	1.31002e+06	1.36454e+06		919811	1.12023e+06	1.05905e+06		1.0832e+06		989587	3.80285e+06	4.31738e+06	
SPO1392	4-carboxymuconolactone decarboxylase domain/alkylhydroperoxidase AhpD family core domain protein				385657	761471	940233	766525		634223	609160	610253		567388		655313			
SPO1393	Rrf2 family protein				430956	507642	431161	484499		429392	514150	486483		479387		473479			
SPO1394	"Beta-lactamase, putative"										69519.9	90215.5		60074.1					
SPO1395	"Transcriptional regulator, AraC family"				165916	167539	183093	141216		115704	86108.9	116078		102613		144527			
SPO1396	"Transporter, putative"				190854	296926	244966	253691		238394	197260	277135		244766		215466			
SPO1397	Efflux pump membrane transporter				2.05489e+06	3.09274e+06	2.88895e+06	2.90872e+06		2.75413e+06	3.39226e+06	3.26352e+06		3.27898e+06		2.93654e+06			
SPO1398	"Efflux transporter, RND family, MFP subunit"				8.54978e+06	8.62543e+06	1.22102e+07	1.25762e+07	3.27323e+06	8.45533e+06	1.05865e+07	1.03599e+07		1.05612e+07		8.59663e+06		398077	90243.7
SPO1399	"Transcriptional regulator, AraC family"				659296	757616	642299	684566		682628	641996	630101		616830		685955			
SPO1400	3-keto-5-aminohexanoate cleavage enzyme				419485	469253	564477	579902		449954	402614	375202		437399		486743	566720	584837	809618
SPO1401	"Aminotransferase, class III"				2.44858e+06	1.8586e+06	2.29196e+06	2.34583e+06		1.84154e+06	1.61599e+06	1.65006e+06		1.57141e+06		1.79677e+06	345844	364810	319845
SPO1402	Lipoprotein				178076	187571	206475	202981		252322	146001	102160		128188		314012			
SPO1403	Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)				1.11816e+07	9.97825e+06	1.038e+07	1.03615e+07	1.35247e+07	1.01066e+07	1.17967e+07	1.18599e+07	1.33473e+07	1.21647e+07	1.13178e+07	1.03607e+07	508400	1.28906e+06	652367
SPO1404	"Membrane protein, putative"				1.30229e+06	911179	911750	919458		1.07741e+06	878840	889718		860055		1.15917e+06	1.07954e+08		
SPO1405	Tyrosinase domain protein				2.88132e+06	3.654e+06	3.02947e+06	3.48523e+06		3.88294e+06	2.51634e+06	2.55267e+06		2.64047e+06		4.03969e+06	1.5219e+06	352618	496642
SPO1406	"Membrane protein, putative"				207535	197321	174676	205665		123157	169823	178917		148611		183417			
SPO1407	Uncharacterized protein				291055	437731	353927	306263		375837	401180	397044		348116		441904			
SPO1408	Pseudouridine synthase (EC 5.4.99.-)				1.74036e+06	2.13848e+06	2.22319e+06	2.1596e+06	7.7625e+06	1.91986e+06	2.02046e+06	1.96361e+06	1.21863e+07	1.99812e+06	1.05239e+07	1.88199e+06			
SPO1409	RNA polymerase sigma factor RpoH (RNA polymerase sigma-32 factor)				1.25968e+07	1.27289e+07	1.10018e+07	1.14104e+07	9.05356e+06	1.25127e+07	1.17586e+07	1.20978e+07	9.67457e+06	1.18336e+07	8.44551e+06	1.33563e+07	177157	162206	394748
SPO1410	Renal dipeptidase family protein				3.03217e+06	1.4453e+06	3.00575e+06	3.30617e+06		1.4283e+06	2.00464e+06	2.01981e+06		2.04262e+06		1.27998e+06			
SPO1411	"C4-type zinc finger protein, DksA/TraR family"				156385	233725	117168	152356		208903	171847	150397		171781		199745			
SPO1412a	#NAME?				2.15292e+06	6.18111e+06	2.84392e+06	2.92056e+06	4.76667e+06	5.59195e+06	4.24226e+06	4.47986e+06	4.11864e+06	4.5125e+06	3.938e+06	5.39518e+06	2.3545e+07	1.99068e+07	2.37621e+07
SPO1413	Oligoendopeptidase F (EC 3.4.24.-)				1.70966e+07	1.70302e+07	1.71139e+07	1.75586e+07	2.11461e+07	1.7175e+07	1.75107e+07	1.7611e+07	2.01749e+07	1.73726e+07	2.06194e+07	1.82742e+07	7.78202e+06	7.56937e+06	6.90045e+06
SPO1414	"Hydrolase, alpha/beta fold family"				5.34659e+06	6.21991e+06	6.1375e+06	5.8605e+06	2.51839e+06	6.04722e+06	5.73776e+06	5.75623e+06	2.70531e+06	5.65607e+06	4.74384e+06	6.01505e+06			
SPO1415	Sterol carrier family protein				3.82183e+06	1.21485e+07	7.26656e+06	8.61132e+06	2.49783e+07	1.42558e+07	9.21551e+06	7.4021e+06	1.47033e+07	7.52697e+06	1.00218e+07	1.33354e+07	358108	268714	657180
SPO1416	TPR domain protein				277344	724184	474539	483734		653666	571279	632585		585071		566658			
SPO1417	"Helicase, putative"				1.49431e+07	1.90351e+07	1.47665e+07	1.42056e+07	1.0189e+07	1.91543e+07	2.12977e+07	2.10416e+07	8.20692e+06	2.1307e+07	7.56102e+06	1.92202e+07		1.5324e+08	3.01469e+07
SPO1418	S4 domain protein				1.77e+06	1.29114e+06	1.36531e+06	1.2736e+06	1.71716e+06	1.60583e+06	1.61005e+06	1.68287e+06	3.40693e+06	1.47373e+06	3.67066e+06	1.36189e+06			
SPO1419	Ferredoxin				6.76664e+06	5.13611e+06	1.02257e+07	1.15154e+07	7.35798e+06	5.32027e+06	4.61303e+06	3.8137e+06	1.09414e+07	4.75388e+06	3.22037e+06	5.23954e+06	7.79253e+07	8.36239e+07	1.09124e+08
SPO1420	"Transcriptional regulator, CarD family"				9.20808e+06	1.44814e+07	1.0236e+07	9.59972e+06	1.36036e+07	1.44623e+07	1.20532e+07	1.17383e+07	1.18476e+07	1.23757e+07	9.30546e+06	1.60407e+07		55978.4	
SPO1421	Cation channel family protein				184585	168845	169729	216999		179245	221548	128877		187853		194276			
